subject	value_3t	value_7t
sub-73378	26.6406879425049	25.6291646561585
sub-73512	32.2442855834961	27.5281189084053
sub-74182	33.0461959838867	29.5796048641205
sub-74193	27.8982887268066	32.0835802319925
sub-74516	22.9344139099121	21.4755923417397
sub-75056	30.1702766418457	28.0154224047437
sub-75861	30.537712097168	23.7616305607371
sub-76147	29.8001956939697	21.034913752228
sub-76456	24.4144306182861	21.2754008253105
sub-79577	23.2385158538818	20.8358415170806
sub-80780	26.0467567443848	23.1030642092228
sub-81101	21.4140911102295	12.8043539822102
sub-81668	24.075569152832	22.2142847673967
sub-82107	25.7133483886719	22.2428457088536
sub-83170	33.5531921386719	31.8950175179634
sub-83997	25.932014465332	17.4522252082825
sub-84917	28.7307891845703	18.4577740430832
sub-85522	21.9682273864746	15.685084396915
sub-86202	22.3899364471436	16.2905897077871
sub-86435	27.6723003387451	25.8720114461612
sub-86493	27.0663928985596	27.4924376533017
sub-87034	34.4186248779297	31.1398766040802
sub-87051	27.2513160705566	24.4130056537688
sub-87732	27.135856628418	23.9153572131181
sub-88141	25.9530143737793	22.8011326247361
sub-88548	24.5054931640625	21.0107099164743
sub-88686	28.3970508575439	25.6192424297333
sub-89034	28.1473026275635	23.7423355125356
sub-89440	26.3061676025391	24.9635822701966
sub-89448	30.0977935791016	19.2734206498135
sub-91179	25.2030086517334	24.6187644246966
sub-92438	27.2216110229492	23.8199138683267
sub-92635	24.3799304962158	29.691485618474
sub-93064	22.5311985015869	24.6932183308527
sub-93112	25.1592998504639	22.6291467761621
sub-93729	33.2936553955078	34.4230397343636
sub-95017	25.8867511749268	17.4480220815167
sub-95488	30.3942070007324	23.8700246438384
sub-95862	22.6413898468018	28.2922496795654
sub-95985	16.889274597168	15.0411655334174
sub-97902	23.860424041748	19.6640635653166
